1964608,0815
1421385,0825
1270407,0825
1350492,0830
1899685,0835
1941608,0850
1889860,0855
1493709,0855
1544797,0900
1714399,0925
1376159,0930
1543996,0935
1342487,0935
1942926,0945
1515882,0945
1757383,0950
1562402,1005
1835490,1005
1447332,1030
1764429,1030
1922463,1035
1372045,1040
1934683,1040
1882441,1045
1350590,1050
1828006,1050
1798534,1055
1439732,1055
1008888,1100
1147451,1105
1786054,1110
1608638,1130
1411028,1130
1907323,1135
1816366,1140
1504793,1145
1573632,1145
1808666,1155
1542212,1205
1573500,1205
1198047,1210
1264627,1210
1038215,1215
1634627,1220
1964134,1225
1874090,1225
1779215,1230
1782585,1230
1578540,1240
1576368,1250
1447093,1255
1710274,1300
1209700,1300
1616359,1305
1822132,1305
1580768,1310
1949446,1315
1342440,1315
1649280,1315
